id;name;skillId
1;Getting Started;1
2;Git Basics;1
3;Git Branching;1
4;GitHub;1
5;Git Tools;1
6;Customizing Git;1
7;Git and Other Systems;1
8;Git Internals;1
9;Git in Other Environments ;1
10;Embedding Git in your Applications;1
11;Git Commands (Appendix);1
12;Get started;2
13;Collaborative coding;2
14;CI/CD and DevOps;2
15;Security;2
16;Client apps;2
17;Project management;2
18;Developers;2
19;Enterprise and Teams;2
20;Community;2
21;More docs (Related Skills);2
22;Notion AI;3
23;Notion Calendar;3
24;Workspaces;3
25;Using templates;3
26;Notion API;3
27;Block and markdown logic;3
28;Databases;3
29;Content blocks;3
30;Formulas;3
31;Collabration & Publishing;3
32;Workflow;4
33;Layout;4
34;Properties;4
35;Assets;4
36;Extra Styling;4
37;Custom code;4
38;Navigation;4
39;Components;4
40;CMS;4
41;Localization;4
42;Effects;4
43;Import;4
44;Premade components;4
45;Components;5
46;Hooks;5
47;Basics;6
48;Routing;6
49;Data fetching;6
50;Rendering;6
51;Api routes;6
52;Rendering Images;6
53;Components;7
54;Organizations;7
55;Getting Started;10
56;Core Concepts;10
57;Customization;10
58;Base Styles;10
59;Layout;10
60;Flexbox & Grid;10
61;Spacing;10
62;Sizing;10
63;Typography;10
64;Backgrounds;10
65;Borders;10
66;Effects;10
67;Filters;10
68;Tables;10
69;Transitions & Animation;10
70;Transforms;10
71;Interactivity;10
72;SVG;10
73;Accessibility;10
74;Official Plugins;10
75;OVERVIEW;11
76;PRISMA SCHEMA;11
77;PRISMA CLIENT;11
78;PRISMA MIGRATE;11
79;TOOLS;11
80;MORE;11
81;Getting started;12
82;Import notes;12
83;User interface;12
84;Editing and formatting;12
85;Linking notes and files;12
86;Files and folders;12
87;Plugins;12
88;Obsidian Publish;12
89;Obsidian Sync;12
90;Extending Obsidian;12
