id;name;skillTopicId
1;About Version Control;1
2;A Short History of Git;1
3;What is Git?;1
4;The Command Line;1
5;Installing Git;1
6;First-Time Git Setup;1
7;Getting Help;1
8;Summary;1
9;Getting a Git Repository;2
10;Recording Changes to the Repository;2
11;Viewing the Commit History;2
12;Undoing Things;2
13;Working with Remotes;2
14;Tagging;2
15;Git Aliases;2
16;Summary;2
17;Branches in a Nutshell;3
18;Basic Branching and Merging;3
19;Branch Management;3
20;Branching Workflows;3
21;Remote Branches;3
22;Rebasing;3
23;Summary;3
24;Account Setup and Configuration;4
25;Contributing to a Project;4
26;Maintaining a Project;4
27;Managing an organization;4
28;Scripting GitHub;4
29;Summary;4
30;Revision Selection;5
31;Interactive Staging;5
32;Stashing and Cleaning;5
33;Signing Your Work;5
34;Searching;5
35;Rewriting History;5
36;Reset Demystified;5
37;Advanced Merging;5
38;Rerere;5
39;Debugging with Git;5
40;Submodules;5
41;Bundling;5
42;Replace;5
43;Credential Storage;5
44;Summary;5
45;Git Configuration;6
46;Git Attributes;6
47;Git Hooks;6
48;An Example Git-Enforced Policy;6
49;Summary;6
50;Git as a Client;7
51;Migrating to Git;7
52;Summary;7
53;Plumbing and Porcelain;8
54;Git Objects;8
55;Git References;8
56;Packfiles;8
57;The Refspec;8
58;Transfer Protocols;8
59;Maintenance and Data Recovery;8
60;Environment Variables;8
61;Summary;8
62;Plumbing and Porcelain;9
63;Git Objects;9
64;Git References;9
65;Packfiles;9
66;The Refspec;9
67;Transfer Protocols;9
68;Maintenance and Data Recovery;9
69;Environment Variables;9
70;Summary;9
71;Command-line Git;10
72;Libgit2;10
73;JGit;10
74;go-git;10
75;Dulwich;10
76;Setup and Config;11
77;Getting and Creating Projects;11
78;Basic Snapshotting;11
79;Branching and Merging;11
80;Sharing and Updating Projects;11
81;Inspection and Comparison;11
82;Debugging;11
83;Patching;11
84;Email;11
85;External Systems;11
86;Administration;11
87;Plumbing Commands;11
88;Migrations;12
89;Account and profile;12
90;Authentication;12
91;Billing and payments;12
92;Site policy;12
93;Codespaces;13
94;Repositories;13
95;Pull requests;13
96;GitHub Discussions;13
97;GitHub Copilot;13
98;GitHub Actions;14
99;GitHub Packages;14
100;GitHub Pages;14
101;Code security;15
102;Supply chain security;15
103;Security advisories;15
104;Dependabot;15
105;Code scanning;15
106;Secret scanning;15
107;GitHub CLI;16
108;GitHub Desktop;16
109;GitHub Issues;17
110;Projects;17
111;Tasklists;17
112;Search on GitHub;17
113;Apps;18
114;REST API;18
115;GraphQL API;18
116;Webhooks;18
117;Organizations;19
118;Enterprise administrators;19
119;Building communities;20
120;GitHub Sponsors;20
121;GitHub Education;20
122;GitHub Support;20
123;Contribute to GitHub Docs;20
124;Electron;21
125;CodeQL;21
126;npm;21
127;Writer;22
128;Autofill databases;22
129;Connecting calendar with database;23
130;Notion templates;25
131;Template marketplaces;25
132;Database page;28
133;Database view;28
134;Links, backlinks;29
135;Buttons;29
136;Synced blocks;29
137;Math equations;29
138;Pages;32
139;Page folders;32
140;Stack;33
141;Grid;33
142;Breakpoints;33
143;Opacity;34
144;Visibility;34
145;Fill;34
146;Overflow;34
147;Color styles;35
148;Light and dark mode;35
149;Text styles;35
150;Custom cursors;36
151;Code overrides;37
152;Custom components;37
153;Custom component properties;37
154;Package imports;37
